Date,Ground Level,Settlement
2013-05-04,-2.0,0.0
2013-12-03,3.364000000000001,1.0219999999999994
2013-12-04,3.364000000000001,1.0414999999999974
2013-12-05,3.364000000000001,1.0666388888888854
2013-12-06,3.364000000000001,1.1110000000000007
2013-12-07,3.264,1.1530000000000005
2013-12-09,3.264,1.2080000000000002
2013-12-11,3.264,1.2610000000000001
2013-12-17,3.264,1.391
2013-12-19,5.642,1.4830000000000005
2013-12-28,5.164,1.516
2013-12-30,5.059,1.609
2013-12-31,5.059,1.6590000000000007
2014-01-02,5.059,2.0069999999999997
2014-01-03,4.57,2.0359999999999996
2014-01-04,4.527,2.0700000000000003
2014-01-06,4.527,2.1099999999999994
2014-01-09,4.434,2.215
2014-01-10,4.225,2.208
2014-01-13,4.304,2.2699999999999996
2014-01-15,4.304,2.2910000000000004
2014-01-16,4.348,2.286999999999999
2014-01-17,4.078,2.295
2014-01-18,3.876,2.292
2014-01-20,4.074,2.2940000000000005
2014-01-21,4.074,2.34
2014-01-24,4.206,2.401
2014-01-28,4.808,2.433
2014-02-05,10.804,2.786999999999999
2014-02-07,11.693,2.911999999999999
2014-02-20,12.212,3.3199999999999985
2014-02-22,11.981,3.3859999999999992
2014-02-26,11.893,3.5269999999999992
2014-03-05,11.887,3.6129999999999995
2014-03-12,11.882,3.6790000000000003
2014-03-22,11.617,3.9019999999999992
2014-05-07,10.602,4.385000000000002
2014-05-13,10.432,4.674999999999999
2014-05-17,10.44,4.786999999999999
2014-05-21,10.406,4.847999999999999
2014-05-24,10.372,4.629
2014-05-28,10.356,4.645999999999999
2014-05-31,10.356,4.647
2014-06-06,10.318,4.728999999999999
2014-06-12,10.648,4.783999999999999
2014-06-17,10.202,4.802999999999999
2014-06-26,10.483,4.884
2014-07-04,10.46,4.927
2014-07-09,10.399,4.982999999999999
2014-07-15,10.131,5.030999999999999
2014-07-22,9.927,5.0649999999999995
2014-07-29,10.079,5.122999999999999
2014-08-06,9.99,5.161
2014-08-15,10.104,5.173
2014-08-22,5.753,5.341
2014-08-28,5.984,5.5089999999999995
2014-09-04,5.9,5.566999999999999
2014-09-11,5.915,5.587
2014-09-15,5.915,5.606
2014-09-30,5.915,5.643
2014-10-14,5.915,5.672
2014-10-31,5.915,5.701
2014-11-14,5.915,5.744
